annee,mois,combinaison,tache,sujetId,consigne
2026,mai,50,2,cmu71docb029y8iigzw42f908,"Je travaille à l’accueil du club de sport de votre quartier. Vous voulez commencer une activité sportive mais vous hésitez. Vous me posez des questions sur les sports proposés (horaires, prix, matériel, etc.)."
2026,mai,51,2,cmu71docc02a18iigmv8kl2vt,"Je travaille à l’accueil d’un musée. Vous souhaitez visiter ce musée avec des amis. Vous me posez des questions pour organiser votre visite (heures d’ouverture, prix, visites guidées, etc.)."
2026,mai,52,2,cmu71docc02a28iig5c3ptlw8,"Nous sommes collègues. Vous souhaitez partir en week-end et je vous conseille de visiter une ville que je connais bien. Vous me posez des questions sur cette ville (hébergements, restaurants, lieux à visiter, etc.)."
2026,mai,53,2,cmu71docd02a58iig92r97yzd,"Je propose une chambre à louer dans mon appartement. Vous avez vu mon annonce. Vous venez visiter l’appartement et vous me posez des questions (loyer, meubles, vie en commun, etc.)."
2026,mai,54,2,cmu71docd02a78iig2rheqcu0,"Je suis votre ami(e), je vous invite à la soirée d’ouverture d’un grand restaurant. Vous me posez des questions sur l’événement (tenue appropriée, menu proposé, déroulement de la soirée, etc.)."
2026,mai,55,2,cmu71docd02a98iigdl600g5t,"Je suis votre collègue. Je ne pourrai pas aller chercher mes parents à l’aéroport ce week-end. Vous me proposez de me rendre ce service et vous me demandez les informations nécessaires (dates, vol, description physique, etc.)."
2026,mai,56,2,cmu71docd02aa8iig7hptrrbv,"Je suis votre collègue. Vous avez lu mon annonce au travail : je revends mes meubles. Vous êtes intéressé(e) : vous me posez des questions (état, prix, taille, etc.)."
2026,mai,57,2,cmu71doce02ac8iig6vybmojf,"Je suis votre voisin(e). Vous venez d’emménager dans mon immeuble. Vous me posez des questions sur les activités du quartier (commerces, activités culturelles et sportives, etc.)."
2026,mai,58,2,cmu71doce02ae8iig61h1t4si,"Je suis employé(e) à l’accueil d’une école de musique. Vous voulez prendre des cours. Vous me posez des questions sur les services de l’école (cours, tarifs, horaires, instruments proposés, etc.)."
2026,mai,59,2,cmu71doce02ah8iigi5jpqdoe,"Je suis un(e) ami(e), je vis à Montréal. Vous venez d’arriver dans la ville et vous souhaitez vous déplacer à vélo. Vous me posez des questions sur l’utilisation du vélo à Montréal pour décider si c’est une bonne idée (pistes cyclables, agences de location, matériel, etc.)."
2026,mai,60,2,cmu71doce02aj8iig4bulebns,"Je suis un(e) ami(e). Vous voulez partir en week-end pour vous reposer. Demandez-moi des conseils (lieux, activités, transports, etc.)."
2026,mai,61,2,cmu71docf02al8iigb47ojrt3,"Je suis votre ami(e). J’ai immigré au Québec il y a deux ans. Vous êtes en train de faire les démarches d’immigration au Québec. Vous me posez des questions sur mon expérience (changements d’habitudes, vie quotidienne, adaptation au pays, etc.)."
2026,mai,62,2,cmu71docf02am8iigqc9gp7xy,"Je suis votre voisin(e). Je connais une personne qui fait des petits travaux chez les particuliers. Vous êtes intéressé(e). Vous me posez des questions sur cette personne (expérience, disponibilité, tarif, etc.)."
2026,mai,63,2,cmu71docf02ap8iighm604abw,"Je suis votre ami(e). J’étudie dans une université à Toronto. Vous allez commencer vos études dans cette université. Vous me posez des questions sur cet établissement (cours, équipements, logement, etc.)."
2026,mai,64,2,cmu71docf02ar8iig7fw2ugzz,"Je suis votre voisin(e). Je vais souvent nager à la piscine municipale. Vous êtes intéressé(e) par cette activité. Vous me posez des questions sur la piscine (équipements, horaires, tarifs, etc.)."
2026,mai,65,2,cmu71docf02as8iigjf8w3ivu,"Je suis votre voisin (e). J’organise une fête avec les habitants du quartier. Vous êtes intéressé(e). Vous me posez des questions sur l’organisation (date, repas, invités, etc.)."
2026,mai,66,2,cmu71docg02au8iig4a2rai92,"Je suis votre voisin(e). Vous venez d’emménager à Vancouver. Vous voulez savoir comment vous déplacer dans la ville. Vous me posez des questions sur les moyens de transport disponibles (types de transports, tarifs, horaires, etc.)."
2026,mai,67,2,cmu71docg02ax8iigjsegkq0l,"Je travaille dans une agence de voyages. Vous voulez partir en vacances au bord de la mer. Vous me posez des questions sur les offres (destinations, tarifs, activités, etc.)."
2026,mai,68,2,cmu71docg02az8iig76jjg2w9,"Je suis un(e) ami(e) francophone installé(e) ici depuis longtemps. Vous venez d’arriver dans ma ville. Vous me demandez des conseils pratiques pour votre installation (logement, démarches administratives, transports, commerces, loisirs, etc.)."
2026,mai,69,2,cmu71doch02b18iigqcj0mbo5,"Je suis un(e) ami(e) francophone. Vous voulez savoir comment cela se passe quand on tombe malade dans mon pays. Vous me posez des questions sur l’organisation des soins (médecins, hôpitaux, urgences médicales, etc.)."
2026,mai,70,2,cmu71doch02b38iigmfmz6s3b,"Je suis votre professeur(e) de français. Vous allez passer le prochain Nouvel An au Canada. Vous vous demandez comment les Canadiens célèbrent cette fête. Vous me posez des questions pour vous faire une idée (lieux, activités, plats, etc.)."
2026,mai,71,2,cmu71doch02b58iigkqa0f5yy,"Je suis votre professeur(e) de français. Vous souhaitez travailler au Canada cet été. Vous me demandez des conseils pour trouver un emploi (régions, activités, salaires, etc.)."
2026,mai,72,2,cmu71doch02b68iig87f67un4,"Je suis votre voisin(e) canadien(ne). Un de vos amis est végétarien, il doit faire un voyage d’affaires au Canada. Vous m’interrogez pour savoir si votre ami pourra se nourrir facilement au Canada ou pas (restaurants et cantines, achats, variété, prix, etc.)."
2026,mai,73,2,cmu71doch02b88iigv3m11aty,"Je suis un(e) ami(e), je vis au Québec depuis quelques mois. Vous m’interrogez sur ma vie au Québec (logement, activités, relations, etc.)."
2026,mai,74,2,cmu71doch02bb8iigiu7m6769,"Je suis un(e) collègue. Je voudrais changer de service. Vous me posez des questions pour comprendre pourquoi (activités, horaires, ambiance, etc.)."
2026,mai,75,2,cmu71dqs702bc8iigbppw6dyd,"Je travaille dans une agence de voyages. Vous avez participé à un concours, vous avez gagné un voyage. Vous devez choisir votre destination : Montréal, Dakar, Bruxelles ou Hanoï. Vous me posez des questions sur ces quatre villes (météo, activités, niveau de vie, etc.) pour faire votre choix."
2026,mai,76,2,cmu71dqs802bf8iigl1mg1an5,"J’ai passé une annonce, je cherche quelqu’un pour accompagner mes enfants à l’école. Vous avez répondu à l’annonce et nous avons rendez-vous. Vous m’interrogez pour comprendre ce que vous devrez faire (horaires, école, tâches, etc.)."
2026,mai,77,2,cmu71dqs802bg8iigwqmeyqrk,"J’organise un festival de cinéma francophone. Vous êtes en vacances dans ma ville où nous nous sommes rencontrés. Vous me posez des questions sur ce festival pour décider si vous y viendrez (dates, horaires, programme, prix, etc.)."
2026,mai,78,2,cmu71dqs902bj8iigh1t40hh4,"Je suis un(e) ami(e). Vous recherchez un emploi et vous avez un entretien professionnel la semaine prochaine. Vous me demandez des conseils pour bien vous préparer (attitude, tenue, préparation, etc.)."
2026,mai,79,2,cmu71dqs902bk8iig03kzhbto,"Je suis votre voisin(e). Je pars en vacances et je vous propose de garder mon animal de compagnie. Vous me posez des questions pour savoir si vous pouvez accepter (dates, habitudes, consignes, etc.)."
2026,mai,80,2,cmu71dqs902bn8iigp8xsbprl,"Je travaille dans un office de tourisme. Vous souhaitez partir en week-end sans trop dépenser. Vous me demandez des conseils (destinations, activités, transports, etc.)."
2026,mai,81,2,cmu71dqsa02bo8iigqv6qofld,"Je travaille à l’accueil d’un club sportif de votre ville. Vous souhaitez pratiquer un sport. Vous me posez des questions pour faire votre choix (activités, horaires, tarifs, etc.)."
2026,mai,82,2,cmu71dqsa02bq8iigs1fo9ix2,"Nous sommes amis. Vous souhaitez vous installer au Canada. J’habite en colocation à Toronto et je vous propose de partager mon logement. Vous me posez des questions pour décider si cette colocation vous convient (logement, quartier, mode de vie, etc.)."
2026,mai,83,2,cmu71dqsa02bs8iigi0wca88o,"Je suis employé(e) dans une école de langue, je travaille à l’accueil. Vous voulez faire un stage de formation en français. Vous me posez des questions pour choisir votre stage (choix, durée, tarifs, etc.)."
2026,mai,84,2,cmu71dqsb02bv8iigkyao4wgz,"Je suis employé(e) à l’accueil d’une billetterie de spectacles. Vous êtes en vacances au Canada. Vous souhaitez aller voir un spectacle. Vous me posez des questions pour faire votre choix (types de spectacles, horaires, prix, etc.)."
2026,mai,85,2,cmu71dqsb02bx8iigy9kh63sv,"Je suis un(e) ami(e) français(e) ; je reviens d’un séjour sportif. Vous trouvez que c’est une très bonne idée, vous aimeriez faire la même chose. Vous me posez des questions sur ce séjour (lieu, activités, tarifs, etc.)."
2026,mai,86,2,cmu71dqsb02by8iig1p9dkfbd,"Je suis un(e) ami(e). Je travaille dans une entreprise canadienne. Vous souhaitez travailler au Canada. Vous m’interrogez sur mon expérience (formation, activités, relations, conditions de travail, etc.)."
2026,mai,87,2,cmu71dqsc02c08iig66f8ksb7,"Je suis un(e) ami(e). Vous voulez vous installer dans ma ville. Vous cherchez un endroit agréable à vivre dans un quartier de la ville. Vous me posez des questions pour en choisir un qui peut vous plaire (lieux, prix, services, etc.)."
2026,mai,88,2,cmu71dqsc02c38iighultigrp,"Je suis agent(e) de voyage. Vous souhaitez partir en vacances au Québec. Vous me demandez des renseignements (tarifs, lieux, type de séjour, etc.)."
2026,mai,89,2,cmu71dqsc02c48iiggrf1sknd,"Je suis un(e) ami(e) et je vis à Montréal. Vous venez d’arriver dans la ville et vous souhaitez vous déplacer à vélo. Vous me posez des questions sur ce moyen de transport (pistes cyclables, agences de location, matériel, etc.)."
2026,mai,90,2,cmu71dqsc02c68iigxly0qoav,"Je suis votre collègue de bureau. Je recherche une baby-sitter pour garder mes enfants. Je vous demande si vous connaissez quelqu’un dans votre entourage. Vous me posez des questions sur mes exigences, le salaire, les horaires et les tâches à faire."
2026,mai,91,2,cmu71dqsc02c88iigm53abgml,"Je suis votre voisin(e). Vous venez d’emménager, vous connaissez mal le quartier. Vous me posez des questions pour mieux le connaître (services, magasins, ambiance, etc.)."
2026,mai,92,2,cmu71dqsd02cb8iigoopdbipe,"Je travaille pour une entreprise, vous souhaitez faire des travaux dans votre logement. Vous me posez des questions (tarifs, durée, bruits, garantie, services, etc.)."
2026,mai,93,2,cmu71dqsd02cd8iigtp4m86p6,"Je suis votre ami(e). Je viens de rejoindre le nouveau centre sportif de notre ville. Vous êtes intéressé(e). Vous me posez des questions (horaires, tarifs, sports proposés, etc.)."
2026,mai,94,2,cmu71dqsd02ce8iigcnsa81qx,"Je suis votre voisin(e). Je participe souvent à des sorties culturelles de la mairie. Vous êtes intéressé(e). Vous me posez des questions (lieux, dates, activités, etc.)."
2026,mai,95,2,cmu71dqsd02ch8iig21zvwx18,"Je suis votre voisin(e). Vous venez d’arriver dans l’immeuble. Vous cherchez des infos sur le quartier. Vous me posez des questions (écoles, loisirs, commerces, etc.)."
2026,mai,96,2,cmu71dqsd02cj8iigdhee1mh8,"Je travaille dans une agence de location de voitures. Vous voulez en louer une pour vos vacances. Vous me posez des questions (prix, modèles, assurance, etc.)."
2026,mai,97,2,cmu71dqse02ck8iigx9ltmux1,"Je travaille dans une école de langues. Vous voulez apprendre une langue étrangère. Vous me posez des questions (cours, professeurs, prix, etc.)."
2026,mai,98,2,cmu71dqse02cm8iigt3qi2c6j,"Je travaille dans une agence immobilière. Vous êtes à la recherche d’un logement et vous souhaitez en savoir plus sur les offres disponibles. Vous me posez des questions sur les types de biens, les tarifs et les quartiers proposés."
2026,mai,99,2,cmu71dqse02co8iiglchkgddb,"Je suis votre voisin(e). Je vais bientôt participer à une course à pied à Vancouver. Vous êtes intéressé(e) par cet événement et vous me posez des questions sur l’inscription, l’entraînement et l’organisation de la course."
2026,mai,100,2,cmu71dqse02cr8iiggselt6yw,"Je suis votre collègue. Vous prévoyez de partir en vacances dans une région que je connais bien. Vous me posez des questions pour obtenir des informations sur les activités, les lieux à visiter et le climat de cette région."
2026,mai,101,2,cmu71dqse02cs8iigqop4pvmu,"Je suis votre ami(e). J’organise une fête pour mon anniversaire. Vous souhaitez m’aider à la préparer et vous me posez des questions sur l’organisation : le repas, la décoration, les invités, etc."
2026,mai,102,2,cmu71dqse02cv8iigsmwywo7h,"Je suis votre ami(e). J’ai récemment mangé dans un nouveau restaurant à Ottawa. Vous aimeriez y aller et vous me posez des questions sur la carte, les prix et mon avis sur ce restaurant."
2026,mai,103,2,cmu71dqsf02cx8iiguv2zkk8w,"Je suis employé(e) dans une salle de sport, je travaille à l’accueil. Vous allez dans cette salle de sport pour vous renseigner sur les activités proposées, les tarifs, les horaires et jours d’ouverture. Demandez-moi des informations."
2026,mai,104,2,cmu71dqsf02cz8iigcru8b1ff,"Je suis un(e) ami(e) installé(e) au Québec depuis longtemps. Vous venez d’arriver dans ma ville. Vous me demandez des conseils pratiques pour votre installation (logement, démarches administratives, transports, commerces, loisirs, etc.)."
2026,mai,105,2,cmu71dqsf02d08iigi6ur38vc,"Je suis un(e) marchand(e) de journaux. Vous voulez lire la presse francophone. Vous me demandez des conseils pour choisir une lecture intéressante (thème, prix, niveau de langue, etc.)."
2026,mai,106,2,cmu71dqsf02d28iig2uprwu3i,"Je suis votre enseignant(e) de français. Vous vous interrogez sur la possibilité d’aller étudier à l’étranger. Posez-moi des questions à ce sujet."
2026,mai,107,2,cmu71dqsg02d58iigwd8nfwns,"Je vends ma voiture, j’ai mis une annonce en ligne. Vous souhaitez acheter une voiture. Vous m’avez contacté(e) et nous nous rencontrons pour la première fois. Vous me posez des questions sur la voiture que je vends (âge, état, prix, etc.)."
2026,mai,108,2,cmu71dqsg02d68iig1nvn3mya,"Je suis votre collègue. Je suis parti(e) quelques jours dans une région du Canada. Vous me posez des questions sur mon séjour (lieux, hébergement, type d’activités, etc.)."
2026,mai,109,2,cmu71dqsg02d98iig4y0zjpc2,"Je suis votre collègue. Vous venez de vous installer au Canada. Vous me posez des questions pour savoir comment les gens se soignent au Canada (médecins, hôpitaux, congés maladie, médicaments, etc.)."
2026,mai,110,2,cmu71dqsg02db8iigaluwz1qn,"Je travaille dans un office du tourisme. Vous souhaitez visiter un parc à thème (aquarium, zoo, réserve naturelle). Vous me posez des questions pour obtenir des informations (horaires d’ouverture, tarifs, restauration, etc.)."
2026,mai,111,2,cmu71dqsh02dd8iigpgz6t9x1,"Je travaille dans une agence touristique au Canada. Vous souhaitez faire une croisière. Vous me posez des questions pour obtenir des informations (tarifs, durée, activité(s) proposée(s), etc.)."
2026,mai,112,2,cmu71dqsh02de8iigkon5n45b,"Vous visitez un appartement à louer. Je suis l’ancien(ne) locataire. Vous me posez des questions sur l’immeuble, les voisins, le gardien, le quartier, etc."
2026,mai,113,2,cmu71dqsh02dg8iigqn3rscgm,"Je suis le (la) secrétaire de votre médecin. Celui-ci est en congés. Vous me questionnez sur son remplacement (médecin, horaires, durée, etc.)."
2026,mai,114,2,cmu71dqsh02dj8iig4x3tql78,"Je suis un(e) ami(e) ; je viens d’être recruté(e) par une entreprise de la région de Toronto. Vous me posez des questions sur mon nouveau travail (activités, collègues, locaux, avantages, etc.)."
2026,mai,115,2,cmu71dqsi02dl8iigxu0qwfll,"Je suis un(e) ami(e), j’ai un blog depuis longtemps. Vous voulez écrire sur un blog lors de votre prochain voyage au Canada. Vous me demandez des conseils (types de contenus, rythme de publication, rubriques, etc.)."
2026,mai,116,2,cmu71dqsi02dm8iigfo00zyx9,"Je suis votre ami(e). Vous souhaitez organiser un voyage au Canada pour l’anniversaire de votre conjoint(e). Vous me demandez des conseils (destination, prix, idées, etc.)."
2026,mai,117,2,cmu71dqsi02dp8iigoonsbyhy,"Vous déménagez au Canada. Vous voulez louer un appartement en colocation. Je vous propose le mien. Posez-moi des questions pour savoir comment se passera cette colocation (prix, espaces, colocataires, etc.)."
2026,mai,118,2,cmu71dqsi02dq8iigydmnseav,"Je suis votre ami(e). Hier, je suis allé(e) au cinéma voir un film. Vous voulez en savoir plus, vous me posez des questions (titre, acteurs, type de film, histoire, etc.)."
2026,mai,119,2,cmu71dqsi02ds8iigstlqrch6,"Je suis votre ami(e). Je rentre d’un voyage de deux semaines au Québec. Vous allez bientôt partir au Québec. Vous me posez des questions sur mon voyage pour avoir des conseils pratiques (les transports, la restauration, le climat, les habitants, les prix, etc.)."
2026,mai,120,2,cmu71dqsi02dv8iig9ufwkdes,"Je suis votre ami(e). Je viens de réserver un séjour à la montagne. Vous êtes intéressé(e). Vous voulez en savoir plus. Vous me posez des questions sur les détails du séjour (saison, activités, logement, prix, etc.)."
2026,mai,121,2,cmu71dqsi02dw8iig1ssgqgjn,"Je suis votre collègue de travail. Je viens d’avoir un léger accident. Vous me rendez visite et vous me posez des questions sur ce qui m’est arrivé (lieu, moment, contexte, etc.)."
2026,mai,122,2,cmu71dqsj02dz8iigmh6qt3fs,"Vous arrivez au Québec et vous cherchez un appartement. Vous me posez des questions pour trouver un appartement (démarches, quartier, type de logement, etc.)."
2026,mai,123,2,cmu71dqsj02e08iig2hz18yfu,"Je suis un(e) de vos collègues. Vous êtes nouveau (nouvelle) dans l’entreprise. Vous me posez des questions pour obtenir des informations sur l’entreprise (organisation du travail, collègues, restauration, etc.)."
2026,mai,124,2,cmu71dqsj02e38iigdsnjzmn0,"Je suis votre ami(e) et je vous invite à une fête. Vous venez d’emménager au Québec et c’est la première fois que vous participez à une fête ici. Vous me posez des questions sur cet évènement (horaires, cadeaux à apporter, tenue vestimentaire, etc.)."
2026,mai,125,2,cmu71dqsj02e58iighv1m3u4n,"Je travaille à l’accueil du club de sport de votre quartier. Vous voulez faire du sport mais vous ne savez pas quel sport choisir. Vous me posez des questions sur les activités sportives proposées (horaires, tarifs, équipements, etc.)."
2026,mai,126,2,cmu71dqsj02e78iigaw2zvuaw,"Je travaille à l’accueil d’un musée. Vous voulez visiter ce musée avec des amis. Vous me posez des questions pour préparer votre visite (horaires, tarifs, visites guidées, etc.)."
2026,mai,127,2,cmu71dqsj02e88iigdbhijxmz,"Nous sommes collègues. Vous voulez partir en week-end, je vous propose de visiter une ville que je connais bien. Vous me posez des questions sur cette ville (hébergements, restaurants, visites, etc.)."
2026,mai,128,2,cmu71dqsk02ea8iigs1zl07wg,"Je suis parent d’élève. Nos enfants vont à la même école. Vous allez participer à la fête de l’école pour la première fois. Vous me posez des questions sur l’événement (horaires, programme, animations, etc.)."
2026,mai,129,2,cmu71dqsk02ed8iigty0epydg,"Je suis votre ami(e). J’habite dans une grande ville. Vous voulez louer un logement dans cette ville. Vous me posez des questions à ce sujet (offres, prix, quartier, etc.)."
2026,mai,130,2,cmu71dqsk02ef8iigw36c3s9t,"Je travaille dans un club sportif. Vous voulez vous inscrire à un cours de sport. Vous me posez des questions pour obtenir des informations et faire votre choix (sports proposés, horaires, tarifs, etc.)."
2026,mai,131,2,cmu71dqsk02eg8iigu702v0tj,"Je travaille dans une agence de voyages. Vous cherchez une destination de vacances. Vous me posez des questions pour obtenir des informations et faire votre choix (prix, lieu, activités, etc.)."
2026,mai,132,2,cmu71dqsk02ej8iig83vf46hm,"Je travaille à la ludothèque de votre ville (espace où vous pouvez emprunter des jeux). Vous souhaitez vous inscrire. Vous me posez des questions sur la ludothèque (horaires, tarifs, types de jeux, etc.)."
